month	city_quadkey	avg_price_sqm
2020-03-01	120132230323210	26994.102
2019-09-01	120132231322113	38159.43
2019-10-01	120132231322113	38447.098
2019-11-01	120132231322113	36988.766
2019-12-01	120132231322113	37450.08
2020-01-01	120132231322113	37487.09
2020-02-01	120132231322113	38044.5
2020-03-01	120132231322113	38289.695
2019-09-01	120132231322131	50771.586
2019-10-01	120132231322131	38724.633
2019-11-01	120132231322131	38405.117
2019-12-01	120132231322131	38850.14
2020-01-01	120132231322131	44638.18
2020-02-01	120132231322131	42770.617
2020-03-01	120132231322131	50771.586
2019-10-01	120132231323130	18681.076
2019-11-01	120132231323130	21802.656
2019-12-01	120132231323130	21436.633
2020-01-01	120132231323130	49458.66
2020-02-01	120132231323130	48033.926
2020-03-01	120132231323130	42999.48
2019-09-01	120132231331111	39405.23
2019-10-01	120132231331111	39536.41
2019-11-01	120132231331111	39669.664
2019-12-01	120132231331111	39347.312
2020-01-01	120132231331111	39412.508
2020-02-01	120132231331111	39553.67
2020-03-01	120132231331111	39541.203
2019-09-01	120132231331113	39964.496
2019-10-01	120132231331113	40047.883
2019-11-01	120132231331113	39544.355
2019-12-01	120132231331113	39839.867
2020-01-01	120132231331113	39603.363
2020-02-01	120132231331113	39314.598
2020-03-01	120132231331113	39732.586
2019-10-01	120132232030201	27242.46
2019-11-01	120132232030201	27117.451
2019-12-01	120132232030201	24957.44
2020-01-01	120132232030201	27972.445
2020-02-01	120132232030201	27060.002
2020-03-01	120132232030201	27706.59
2019-09-01	120132232030210	38622.59
2020-01-01	120132232033332	27976.89
2020-02-01	120132232033332	27979.414
2019-09-01	120132232121033	52543.59
2019-10-01	120132232121033	52909.34
2019-11-01	120132232121033	52664.88
2019-12-01	120132232121033	52177.92
2020-01-01	120132232121033	52024.26
2020-02-01	120132232121033	51896.75
2020-03-01	120132232121033	51950.64
2020-03-01	120132232121101	27560.58
2020-01-01	120132232121120	36061.63
2020-02-01	120132232121120	36506.336
2020-03-01	120132232121120	40873.777
2019-09-01	120132232121122	57454.773
2019-10-01	120132232121122	59712.34
2019-11-01	120132232121122	58928.12
2019-12-01	120132232121122	60612.58
2020-01-01	120132232121122	61574.14
2020-02-01	120132232121122	64686.438
2020-03-01	120132232121122	62626.227
2019-10-01	120132232121211	43741.926
2019-11-01	120132232121211	43192.266
2019-09-01	120132232121300	30983.23
2019-10-01	120132232121300	27800.229
2019-11-01	120132232121300	26855.295
2019-12-01	120132232121300	26724.432
2020-01-01	120132232121300	28754.305
2020-02-01	120132232121300	29528.467
2020-03-01	120132232121300	30943.05
2019-09-01	120132232211111	32178.443
2019-10-01	120132232211111	32351.463
2019-11-01	120132232211111	32351.463
2019-12-01	120132232211111	32351.463
2020-01-01	120132232211111	32351.463
